Component,Responsibilities,Primary_Tech,Secondary_Tech,LOC,Percentage,Criticality,Test_Coverage
CUR_Parser,AWS Cost & Usage Report parsing,Python,Pandas,458,1.2%,Critical,75%
CloudWatch_Collector,AWS metrics collection,Python,Boto3,367,0.9%,Critical,80%
CUR_Transformer,Data transformation & dependency inference,Python,Pandas,403,1.0%,Critical,70%
Neo4j_Store,Graph database management,Python,Neo4j,512,1.3%,Critical,85%
FastAPI_Server,REST API endpoints,FastAPI,Python,375,1.0%,Critical,90%
PostgreSQL_Storage,Relational data persistence,Python,SQLAlchemy,400,1.0%,High,75%
Recommendation_Engine,Pattern detection & scoring,Python,Custom,350,0.9%,Critical,80%
LLM_Client,Dual LLM orchestration,Python,LangChain/Claude,1447,3.7%,Critical,70%
LLM_Validation,Proposal validation against metrics,Python,Custom,250,0.6%,High,85%
Context_Assembler,Architecture context building,Python,Neo4j,972,2.5%,High,65%
Graph_Analyzer,Topology analysis,Python,Neo4j,956,2.4%,High,70%
RAG_System,Retrieval-augmented generation,Python,Pinecone,800,2.0%,Medium,60%
PipelinePage,Ingestion UI,React,D3.js,491,1.3%,High,50%
AnalysisPage,Main dashboard,React,Recharts/D3,1563,4.0%,Critical,40%
RecommendationCard,Recommendation display,React,CSS,200,0.5%,Medium,70%
DependencyGraph,Graph visualization,React,React Flow,400,1.0%,High,45%
ResourceTable,Resource list view,React,Recharts,250,0.6%,Medium,60%
APIClient,Frontend-Backend communication,JavaScript,Axios,800,2.0%,Critical,80%
Docker_Setup,Containerization,YAML,Docker,120,0.3%,High,100%
Configuration,Environment & feature flags,Python,python-dotenv,200,0.5%,Medium,90%
Authentication,OAuth2 & API key validation,FastAPI,Custom,150,0.4%,Critical,80%
Logging,Structured logging system,Python,Built-in logging,150,0.4%,Medium,70%
Error_Handling,Exception handling & recovery,Python,Custom,200,0.5%,High,75%
Database_Queries,SQL & Cypher queries,SQL/Cypher,PostgreSQL/Neo4j,400,1.0%,Critical,80%
Testing_Suite,Unit & integration tests,pytest,Mock,600,1.5%,High,Varies
Monitoring,Application monitoring,CloudWatch,Custom,150,0.4%,Medium,60%
Deployment,CI/CD pipeline,GitHub_Actions,Docker,100,0.3%,High,70%