Metric,Value,Unit,Details
Total_Lines_of_Code,39246,LOC,"Backend (77.5%) + Frontend (21.6%) + Config (0.9%)"
Backend_LOC,30433,LOC,"Python core logic, APIs, data pipelines"
Frontend_LOC,8475,LOC,"React components, pages, styling"
Infrastructure_LOC,338,LOC,"Docker, YAML, configuration"
Total_Source_Files,200,files,"Python (45), React (20), Config (3), Others"
Average_LOC_per_File,196,LOC/file,"Optimized for readability"
Largest_Component,AnalysisPage.jsx,file,"1,563 LOC - Main dashboard"
Smallest_Component,Configuration.py,file,"50 LOC - Feature flags"
Technologies_Used,40,count,"Production, stable, emerging"
Production_Ready_Tech,32,count,"80% of stack"
Experimental_Tech,5,count,"10% of stack"
Emerging_Tech,3,count,"7.5% of stack"
Python_Files,65,files,"Backend implementation"
JavaScript_Files,35,files,"Frontend implementation"
Configuration_Files,8,files,"YAML, JSON, Docker"
Test_Files,12,files,"Unit & integration tests"
Documentation_Files,15,files,"README, guides, API docs"
API_Endpoints,24,count,"REST endpoints for integration"
Database_Tables,12,tables,"PostgreSQL schema"
Neo4j_Node_Types,8,types,"Resource types in graph"
Neo4j_Relationship_Types,15,types,"Dependencies and links"
LLM_Providers_Integrated,3,count,"Claude, Ollama, Mistral"
LLM_Calls_per_Recommendation,2,count,"Narrative + Proposal generation"
Average_API_Response_Time,200,ms,"Median across all endpoints"
Average_Pipeline_Duration,180,seconds,"7-stage ingestion pipeline"
Maximum_Resources_Supported,1000,resources,"Horizontal scalability"
Maximum_Graph_Edges,5000,edges,"Dependency relationships"
Database_Connections_Pool,20,connections,"PostgreSQL pooling"
Concurrent_Pipelines,5,pipelines,"Supported simultaneously"
Cache_TTL,86400,seconds,"24 hours default"
Vector_Embeddings_Stored,50,PDFs,"FinOps knowledge base"
Supported_AWS_Services,20,services,"EC2, RDS, S3, Lambda, etc."
CloudWatch_Metrics_Collected,15,metrics,"CPU, memory, network, latency"
Inference_Rules_Implemented,12,rules,"Dependency detection"
Pattern_Detectors,20,patterns,"Right-sizing, termination, migration"
Recommendation_Actions,20,actions,"Enum-based, validated"
Frontend_Responsive_Breakpoints,4,breakpoints,"Desktop, tablet, mobile, ultra-wide"
Language_Versions,2,versions,"Python 3.11+, JavaScript ES2020+"
Git_Commits_Analyzed,40,commits,"Development history"
Major_Versions_Delivered,3,versions,"V1: Ingestion, V2: Intelligence, V3: Validation"
Test_Coverage_Average,72.5,%,"Varies by component (40-90%)"
Code_Review_Coverage,100,%,"All commits reviewed"
Security_Scanning_Enabled,Yes,boolean,"OWASP, dependency checks"
CI_CD_Pipeline_Status,Active,status,"GitHub Actions"
Deployment_Environment,Docker_Compose,platform,"Local/Dev, Kubernetes ready"
Monitoring_Dashboards,3,dashboards,"API, Database, Business metrics"
Alert_Rules_Configured,8,rules,"Critical, Warning, Info"
SLA_Uptime_Target,99.5,%,"Production target"
Backup_Frequency,Daily,frequency,"Neo4j + PostgreSQL"
Recovery_Time_Objective,60,minutes,"Maximum acceptable downtime"
Recovery_Point_Objective,15,minutes,"Maximum data loss acceptable"