Category,Technology_Count,Total_LOC,Percentage,avg_LOC_per_tech,Status
Backend_Framework,1,2130,7%,2130,Production-Ready
Cloud_Services,1,3600,12%,3600,Production-Ready
Data_Storage,2,5400,18%,2700,Production-Ready
AI_ML,4,5400,18%,1350,Production-Ready
Data_Processing,2,3600,12%,1800,Production-Ready
Frontend_Framework,2,6000,20%,3000,Production-Ready
Frontend_Visualization,3,4300,14%,1433,Stable
Frontend_Utilities,5,3300,11%,660,Production-Ready
Backend_Utilities,5,3000,10%,600,Production-Ready
Development_Tools,2,270,1%,135,Production-Ready
Query_Languages,2,750,2%,375,Standard
Data_Formats,3,900,3%,300,Standard
Custom_Logic,7,29475,100%,4210,Custom-Built
════════════════════════════════════════════════════════
Overall_Backend,25,30433,77.5%,1217,Production-Ready
Overall_Frontend,12,8475,21.6%,706,Production-Ready
Overall_Infrastructure,3,338,0.9%,113,Production-Ready
TOTAL_PROJECT,40,39246,100%,981,Mixed