Layer,Technology,Usage_Percentage,Files,Lines_of_Code,Category,Impact,Maturity
API Framework,FastAPI,7%,8,2130,Backend Framework,High Performance Async,Production-Ready
AWS Integration,Boto3,12%,6,3600,Cloud Services,Core Infrastructure,Production-Ready
Graph Database,Neo4j,10%,6,3000,Data Storage,Dependency Mapping,Production-Ready
Relational Database,PostgreSQL,8%,4,2400,Data Storage,Snapshots & Audit,Production-Ready
LLM Orchestration,LangChain,8%,4,2400,AI/ML,Multi-provider Support,Production-Ready
LLM Models,Claude/Ollama/Mistral,10%,2,3000,AI/ML,Dual LLM Pipeline,Production-Ready
Data Processing,Pandas,7%,3,2100,Data Processing,CUR Transformation,Production-Ready
Data Processing,NumPy,5%,2,1500,Data Processing,Numerical Ops,Production-Ready
Frontend Framework,React,15%,12,5100,Frontend,Interactive UI,Production-Ready
Build Tool,Vite,3%,1,900,Frontend,Fast Bundling,Production-Ready
Data Visualization,D3.js,5%,2,1700,Frontend Visualization,Dependency Graphs,Production-Ready
Data Visualization,Recharts,3%,1,900,Frontend Visualization,Cost Charts,Production-Ready
Graph Visualization,React Flow,5%,2,1700,Frontend Visualization,Dependency Rendering,Stable
HTTP Client,Axios,3%,2,900,Frontend,API Communication,Production-Ready
State Management,React Hooks,5%,5,1500,Frontend,Local State,Production-Ready
State Management,Context API,3%,3,900,Frontend,Global State,Production-Ready
Vector Database,Pinecone,4%,2,1200,RAG System,Vector Search,Stable
PDF Processing,PyPDF2,3%,2,900,Document Processing,PDF Ingestion,Stable
Testing Framework,pytest,2%,6,600,Testing,Unit Tests,Production-Ready
Logging,Python logging,2%,3,600,Observability,Structured Logs,Production-Ready
Configuration,python-dotenv,1%,2,300,Configuration,Env Management,Production-Ready
HTTP Client,httpx,2%,2,600,Backend,Async HTTP,Production-Ready
Data Validation,Pydantic,2%,2,600,Backend,Input Validation,Production-Ready
ORM,SQLAlchemy,3%,3,900,Backend,Database Abstraction,Production-Ready
Infrastructure,Docker,0.5%,2,150,DevOps,Containerization,Production-Ready
Infrastructure,Docker Compose,0.4%,1,120,DevOps,Orchestration,Production-Ready
Routing,React Router,3%,3,900,Frontend,Client-side Routing,Production-Ready
Custom Backend Logic,Python Code,41%,45,12300,Backend,Business Logic,Custom Built
Custom Frontend Logic,React Components,25%,20,8475,Frontend,UI Logic,Custom Built
Custom Data Pipelines,Python Ingestion,18%,8,5400,Backend,ETL Pipeline,Custom Built
Custom Analysis,Python Analysis,8%,4,2400,Backend,Graph Analysis,Custom Built
Custom Storage,Database Adapters,4%,4,1200,Backend,Data Persistence,Custom Built
CSV,Ingestion Format,0.5%,1,150,Data Format,CUR Input,Standard
YAML,Config Format,0.5%,2,150,Config Format,Docker/Config,Standard
JSON,Data Format,2%,5,600,Data Format,API/Storage,Standard
SQL,Database Language,0.5%,1,150,Query Language,PostgreSQL,Standard
Cypher,Graph Query Language,2%,2,600,Query Language,Neo4j,Standard